group,variable,value
2015-12-31,XST.TO,48.72
2015-12-31,XFN.TO,29.58
2015-12-31,XEG.TO,10.25
2015-12-31,XRE.TO,14.46
2015-12-31,XIT.TO,13.18
2015-12-31,XIC.TO,20.6
2015-12-31,XGD.TO,8.07
2015-12-31,XUT.TO,19.25
2015-12-31,XHC.TO,41.23
2015-12-31,XQQ.TO,37.950001
2016-12-30,XST.TO,52.82
2016-12-30,XFN.TO,35.5
2016-12-30,XEG.TO,14.1
2016-12-30,XRE.TO,15.92
2016-12-30,XIT.TO,13.69
2016-12-30,XIC.TO,24.4
2016-12-30,XGD.TO,12.63
2016-12-30,XUT.TO,21.68
2016-12-30,XHC.TO,38.45
2016-12-30,XQQ.TO,40.41
2017-12-29,XST.TO,55.8
2017-12-29,XFN.TO,38.64
2017-12-29,XEG.TO,12.27
2017-12-29,XRE.TO,16.66
2017-12-29,XIT.TO,15.97
2017-12-29,XIC.TO,25.71
2017-12-29,XGD.TO,12.23
2017-12-29,XUT.TO,23.04
2017-12-29,XHC.TO,44.37
2017-12-29,XQQ.TO,52.369999
2018-12-31,XST.TO,56.25
2018-12-31,XFN.TO,33.8
2018-12-31,XEG.TO,8.8
2018-12-31,XRE.TO,16.79
2018-12-31,XIT.TO,17.84
2018-12-31,XIC.TO,22.79
2018-12-31,XGD.TO,11.7
2018-12-31,XUT.TO,20.23
2018-12-31,XHC.TO,44.59
2018-12-31,XQQ.TO,50.900002
2019-12-31,XST.TO,62.62
2019-12-31,XFN.TO,39.54
2019-12-31,XEG.TO,9.34
2019-12-31,XRE.TO,19.49
2019-12-31,XIT.TO,28.59
2019-12-31,XIC.TO,27.13
2019-12-31,XGD.TO,16.29
2019-12-31,XUT.TO,26.58
2019-12-31,XHC.TO,54
2019-12-31,XQQ.TO,69.629997
2020-09-18,XST.TO,65.62
2020-09-18,XFN.TO,33.86
2020-09-18,XEG.TO,4.6
2020-09-18,XRE.TO,14.81
2020-09-18,XIT.TO,38.06
2020-09-18,XIC.TO,25.87
2020-09-18,XGD.TO,23.55
2020-09-18,XUT.TO,27.21
2020-09-18,XHC.TO,55.76
2020-09-18,XQQ.TO,85.910004
